star_name,hip_name,hd_name,gj_name,tm_name,st_exocatflag,st_coronagflag,st_starshadeflag,st_wfirstflag,st_lbtiflag,st_rvflag,st_ppnum,rastr,decstr,st_dist,st_disterr1,st_disterr2,st_vmag,st_vmagerr,st_vmagsrc,st_bmv,st_bmverr,st_bmvsrc,st_spttype,st_lbol,st_lbolerr,st_lbolsrc
HIP 65011,HIP 65011,,GJ 507 A,2MASS J13193356+3506373,1,0,0,0,0,0,0,13h19m33.32s,+35d06m43.4s,13.27,0.27,-0.26,9.450,0.050,VT,1.470,0.040,G,M0,0.080,0.130,V-K
HIP 65012,HIP 65012,,GJ 507 B,2MASS J13193466+3506258,1,0,0,0,0,0,0,13h19m34.43s,+35d06m32.2s,15.61,3.43,-2.38,11.810,0.200,Hp-VI,1.470,0.020,G,M3,0.020,0.660,V-K
HIP 65016,HIP 65016,,GJ 507.1,2MASS J13194014+3320477,1,0,0,0,0,0,0,13h19m40.33s,+33d20m48.8s,16.99,0.53,-0.49,10.620,0.010,G,1.470,0.020,G,M2,0.060,0.110,V-K
HIP 65026 A,HIP 65026 A,HD 115953,GJ 508 A,2MASS J13194569+4746409 A,1,0,0,0,0,0,0,13h19m45.58s,+47d46m41.1s,10.71,0.22,-0.21,8.640,0.030,VT,1.470,0.020,G,K0,0.140,0.120,V-K
HIP 65083,HIP 65083,,,2MASS J13202492-0139266,1,0,0,0,0,0,0,13h20m24.87s,-01d39m24.8s,21.54,1.62,-1.41,11.590,0.010,Koen,1.510,0.010,Koen,,0.040,0.190,V-K
HIP 65109,HIP 65109,HD 115892,GJ 508.1,2MASS J13203582-3642443,1,1,0,0,0,0,0,13h20m36.07s,-36d42m43.5s,18.02,,,2.720,0.020,VT,0.070,0.020,BVT-Blue,A2V,26.990,0.060,V-K
HIP 65143,HIP 65143,,GJ 508.2,2MASS J13205797+3416446,1,0,0,0,0,0,0,13h20m57.71s,+34d16m46.8s,16.04,0.50,-0.47,10.620,0.000,G,1.510,0.000,G,M0,0.060,0.120,B-V
HIP 65269,HIP 65269,HD 116220,,2MASS J13223431-2257049,1,0,0,0,0,0,0,13h22m34.12s,-22d57m07.4s,17.28,18.72,-5.91,8.250,0.030,VT,0.580,0.030,BVT-G-Red,G1/G2V,0.130,1.640,V-K
HIP 65327 A,HIP 65327 A,HD 238224,GJ 509.1,2MASS J13232325+5754222 A,1,0,0,0,0,0,0,13h23m23.16s,+57d54m22.2s,24.78,0.77,-0.72,9.720,0.060,VT,1.260,0.000,G,M0V,0.150,0.140,V-K
HIP 65343 A,HIP 65343 A,HD 116495 A,GJ 509 A,2MASS J13233281+2914149 A,1,0,0,0,0,0,0,13h23m33.10s,+29d14m12.8s,18.82,0.38,-0.37,8.880,0.010,G,1.320,0.020,G,K5,0.210,0.050,V-K
HIP 65352,HIP 65352,HD 116442,GJ 3781 A,2MASS J13233916+0243239,1,0,0,1,0,0,0,13h23m39.15s,+02d43m22.2s,15.45,0.32,-0.30,7.060,0.010,G,0.780,0.020,G,G8/K0V,0.360,0.060,V-K
