kelt_sourceid,kelt_field,kelt_orientation,proc_type,kelt_proc_version,ra,dec,kelt_mag,obsstart,obsstop,bjdstart,bjdstop,mean,stddevwrtmean,median,stddevwrtmedian,npts,n5sigma,f5sigma,medabsdev,chisquared,range595,minvalue,maxvalue
KELT_N02_lc_063157_V01_east,N02,east,tfa,V01,39.69279,33.41750,10.504,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.515169,0.009220,10.514265,0.009264,1756,10,0.005695,0.004645,288.039708,0.027160,10.484660,10.574660
KELT_N02_lc_063157_V01_east,N02,west,tfa,V01,39.69279,33.41750,10.675,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.675193,0.012758,10.673750,0.012839,598,2,0.003344,0.007345,293.806261,0.038660,10.641460,10.740290
KELT_N02_lc_071658_V01_east,N02,east,tfa,V01,39.57667,37.72521,10.182,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.198822,0.009454,10.197230,0.009588,1771,13,0.007340,0.003940,389.310967,0.024680,10.174070,10.286860
KELT_N02_lc_071658_V01_east,N02,west,tfa,V01,39.57667,37.72521,10.228,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.234996,0.015506,10.233025,0.015631,592,4,0.006757,0.006725,673.675851,0.040360,10.185180,10.339220
KELT_N02_lc_071884_V01_east,N02,west,tfa,V01,27.78809,38.02208,10.420,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.438161,0.023448,10.440035,0.023523,596,0,0.000000,0.016300,1103.773362,0.076120,10.374870,10.538170
KELT_N02_lc_071902_V01_east,N02,east,tfa,V01,38.39148,31.40693,10.849,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.865736,0.012201,10.864260,0.012290,1752,8,0.004566,0.005650,269.245018,0.034200,10.818830,10.949130
KELT_N02_lc_071902_V01_east,N02,west,tfa,V01,38.39148,31.40693,10.900,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.903597,0.011649,10.901815,0.011785,598,0,0.000000,0.006170,179.406492,0.034680,10.877250,10.957990
KELT_N02_lc_071917_V01_east,N02,east,tfa,V01,23.02850,34.79754,10.341,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,10.359369,0.010649,10.357760,0.010770,1768,15,0.008484,0.004270,390.501443,0.027330,10.327620,10.437190
KELT_N02_lc_072082_V01_east,N02,west,tfa,V01,34.64982,40.27848,10.977,2006-10-27 07:06:26.0,2008-11-24 09:34:38.0,2454035.796138,2454794.899059,10.976200,0.005699,10.975530,0.005739,599,2,0.003339,0.002780,37.118587,0.015190,10.952610,11.017400
KELT_N02_lc_051241_V01_east,N02,east,tfa,V01,37.57069,33.83217,9.927,2006-10-26 04:44:09.0,2008-11-24 04:44:47.0,2454034.697330,2454794.697772,9.936798,0.003946,9.936400,0.003966,1773,4,0.002256,0.002120,127.520287,0.012260,9.917800,9.959740
